Geneid,tissue,betahat,sebetahat,NegativeProb,PositiveProb,lfsr,svalue,lfdr,qvalue,PosteriorMean,PosteriorSD
HDAC1,body,-0.053276427301907736,0.08579748674682643,0.17088426888246944,0.08467425967038522,0.8291157311175306,0.7064301538499483,0.7444414714471453,0.6641052707052606,-0.006824105039510521,0.03298287836805479
ScpX,body,0.07023864699420601,0.12568967479259874,0.10422555734215844,0.17341612414510277,0.8265838758548972,0.7028563544991187,0.7223583185127388,0.6241531538792374,0.006489480785433074,0.0398575507327582
Spx,body,0.10338878049098688,0.10460361626710604,0.07796193178634248,0.21634685156462607,0.7836531484353739,0.6385900941409067,0.7056912166490314,0.5891785611306828,0.012637531993949251,0.0420270639951305
TfIIEalpha,body,0.0755733908629066,0.10062983274112981,0.08600813559951626,0.1886193860524762,0.8113806139475238,0.6819702270705954,0.7253724783480076,0.6309618776306936,0.008916785509744304,0.037768707446351774
TfIIEbeta,body,0.01563797856761595,0.10328166047872436,0.11733358743299938,0.13688977895207155,0.8631102210479284,0.75275683208323,0.7457766336149291,0.6652584462871446,0.0016472066721748663,0.03365102005234627
eIF3i,body,0.2567396854569718,0.09848146044968767,0.02423343267895961,0.5921098795497381,0.40789012045026185,0.17416034936707805,0.38365668777130224,0.16237268678189787,0.0790827272269272,0.08952410435940478
Vang,body,-0.0651090641937545,0.11522243634989054,0.17268629567552984,0.100288593111733,0.8273137043244702,0.7038656867926861,0.7270251112127372,0.6351591432857099,-0.00655354776612658,0.03829970075645477
apt,body,-0.053145303128153465,0.1089268856283267,0.16483708371680128,0.10156649958633979,0.8351629162831987,0.7145300766542354,0.7335964166968589,0.6505732735483379,-0.00555461095869853,0.036542650140358714
crq,body,-0.07262015266256605,0.08577644186837194,0.1967649040849141,0.0749198480132115,0.8032350959150859,0.6694147930087914,0.7283152479018744,0.6385556576713977,-0.009933319412948822,0.035911070107958694
csul,body,0.12422182521443126,0.10872685193652473,0.07379966635003143,0.23585068715510404,0.764149312844896,0.6090587836185466,0.6903496464948645,0.5614519380570991,0.01541958430624044,0.04550944270039319
dpa,body,-0.07165902540389779,0.09724644328353826,0.18651663332090596,0.08510308363824037,0.813483366679094,0.6849401210479811,0.7283802830408537,0.6388111290563647,-0.008659513434552528,0.036917526017218635
